Server : 240e:c3:4000:4::dca9:9823:443 <-> Client : 2001:da8:201d:1109::1321:12703 
Client -> Server Num: 1, SEQ: 0, ACK: 0 S 
Server -> Client Num: 2, SEQ: 0, ACK: 1 SA 
Client -> Server Num: 3, SEQ: 1, ACK: 1 A 
Client -> Server Num: 4, SEQ: 1, ACK: 1 PA 
Server -> Client Num: 5, SEQ: 1, ACK: 518 A 
Server -> Client Num: 6, SEQ: 1, ACK: 518 A 
Server -> Client Num: 7, SEQ: 1361, ACK: 518 A 
Server -> Client Num: 8, SEQ: 2721, ACK: 518 PA 
Client -> Server Num: 9, SEQ: 518, ACK: 3306 A 
Client -> Server Num: 10, SEQ: 518, ACK: 3306 PA 
Server -> Client Num: 11, SEQ: 3306, ACK: 598 A 
Server -> Client Num: 12, SEQ: 3306, ACK: 598 PA 
Server -> Client Num: 13, SEQ: 3593, ACK: 598 PA 
Server -> Client Num: 14, SEQ: 3880, ACK: 598 PA 
Client -> Server Num: 15, SEQ: 598, ACK: 3942 A 
Client -> Server Num: 16, SEQ: 598, ACK: 3942 PA 
Client -> Server Num: 17, SEQ: 696, ACK: 3942 PA 
Client -> Server Num: 18, SEQ: 727, ACK: 3942 PA 
Server -> Client Num: 19, SEQ: 3942, ACK: 696 A 
Server -> Client Num: 20, SEQ: 3942, ACK: 696 PA 
Server -> Client Num: 21, SEQ: 3973, ACK: 727 A 
Server -> Client Num: 22, SEQ: 3973, ACK: 1168 A 
Server -> Client Num: 23, SEQ: 3973, ACK: 1168 A 
Server -> Client Num: 24, SEQ: 5333, ACK: 1168 A 
Client -> Server Num: 25, SEQ: 1168, ACK: 6693 A 
Server -> Client Num: 26, SEQ: 6693, ACK: 1168 A 
Client -> Server Num: 27, SEQ: 1168, ACK: 8053 A 
Server -> Client Num: 28, SEQ: 8053, ACK: 1168 A 
Server -> Client Num: 29, SEQ: 9413, ACK: 1168 A 
Client -> Server Num: 30, SEQ: 1168, ACK: 10773 A 
Server -> Client Num: 31, SEQ: 10773, ACK: 1168 A 
Server -> Client Num: 32, SEQ: 12133, ACK: 1168 A 
Client -> Server Num: 33, SEQ: 1168, ACK: 13493 A 
Server -> Client Num: 34, SEQ: 13493, ACK: 1168 A 
Server -> Client Num: 35, SEQ: 14853, ACK: 1168 A 
Client -> Server Num: 36, SEQ: 1168, ACK: 16213 A 
Server -> Client Num: 37, SEQ: 16213, ACK: 1168 A 
Server -> Client Num: 38, SEQ: 17573, ACK: 1168 A 
Client -> Server Num: 39, SEQ: 1168, ACK: 18933 A 
Server -> Client Num: 40, SEQ: 18933, ACK: 1168 A 
Server -> Client Num: 41, SEQ: 20293, ACK: 1168 A 
Client -> Server Num: 42, SEQ: 1168, ACK: 21653 A 
Server -> Client Num: 43, SEQ: 21653, ACK: 1168 A 
Server -> Client Num: 44, SEQ: 23013, ACK: 1168 A 
Client -> Server Num: 45, SEQ: 1168, ACK: 24373 A 
Server -> Client Num: 46, SEQ: 24373, ACK: 1168 A 
Server -> Client Num: 47, SEQ: 25733, ACK: 1168 A 
Client -> Server Num: 48, SEQ: 1168, ACK: 27093 A 
Server -> Client Num: 49, SEQ: 27093, ACK: 1168 A 
Server -> Client Num: 50, SEQ: 28453, ACK: 1168 A 
Client -> Server Num: 51, SEQ: 1168, ACK: 29813 A 
Server -> Client Num: 52, SEQ: 29813, ACK: 1168 A 
Server -> Client Num: 53, SEQ: 31173, ACK: 1168 A 
